dataset,bar_key,detinfer_config,total_throughput
ArXiv,non_det,ws_32_bs_16,15916.673645837183
ArXiv,detinfer_0.02,ws_32_bs_16,15903.99161302195
ArXiv,global_det,ws_32_bs_16,11113.217728006452
ArXiv,detinfer_0.05,ws_32_bs_16,15782.602396309416
ArXiv,detinfer_0.1,ws_32_bs_16,15712.92449885659
ArXiv,detinfer_0.2,ws_32_bs_16,15579.987092067806
ArXiv,detinfer_0.5,ws_32_bs_16,14724.63169038305
ArXiv,detinfer_1.0,ws_32_bs_16,13140.414601452841
in=1024 out=256,non_det,ws_32_bs_16,19642.888374058224
in=1024 out=256,detinfer_0.02,ws_32_bs_16,19171.622232771773
in=1024 out=256,global_det,ws_32_bs_16,12766.874741084755
in=1024 out=256,detinfer_0.05,ws_32_bs_16,18215.610464469675
in=1024 out=256,detinfer_0.1,ws_32_bs_16,16932.200366551748
in=1024 out=256,detinfer_0.2,ws_32_bs_16,16077.936670056748
in=1024 out=256,detinfer_0.5,ws_32_bs_16,15109.630727002543
in=1024 out=256,detinfer_1.0,ws_32_bs_16,13431.06138987712
in=1024 out=512,non_det,ws_32_bs_16,16010.633142553952
in=1024 out=512,detinfer_0.02,ws_32_bs_16,15677.813734190973
in=1024 out=512,global_det,ws_32_bs_16,10489.768419581727
in=1024 out=512,detinfer_0.05,ws_32_bs_16,14854.133419303455
in=1024 out=512,detinfer_0.1,ws_32_bs_16,13507.915503295002
in=1024 out=512,detinfer_0.2,ws_32_bs_16,12481.291261053739
in=1024 out=512,detinfer_0.5,ws_32_bs_16,11658.866552237268
in=1024 out=512,detinfer_1.0,ws_32_bs_16,10488.394341525573
in=2048 out=256,non_det,ws_32_bs_16,19986.341763562086
in=2048 out=256,detinfer_0.02,ws_32_bs_16,19650.344039124753
in=2048 out=256,global_det,ws_32_bs_16,12846.446441957138
in=2048 out=256,detinfer_0.05,ws_32_bs_16,19325.420014947926
in=2048 out=256,detinfer_0.1,ws_32_bs_16,18277.80545560338
in=2048 out=256,detinfer_0.2,ws_32_bs_16,17070.887729434042
in=2048 out=256,detinfer_0.5,ws_32_bs_16,16064.124595086685
in=2048 out=256,detinfer_1.0,ws_32_bs_16,15460.801382063113
in=2048 out=512,non_det,ws_32_bs_16,16170.023475179773
in=2048 out=512,detinfer_0.02,ws_32_bs_16,15874.987339278634
in=2048 out=512,global_det,ws_32_bs_16,10650.32557282651
in=2048 out=512,detinfer_0.05,ws_32_bs_16,15664.305404924511
in=2048 out=512,detinfer_0.1,ws_32_bs_16,14679.432616702174
in=2048 out=512,detinfer_0.2,ws_32_bs_16,13230.497873572507
in=2048 out=512,detinfer_0.5,ws_32_bs_16,12070.619460316404
in=2048 out=512,detinfer_1.0,ws_32_bs_16,11580.583368295458
in=4096 out=512,non_det,ws_32_bs_16,15781.574983863487
in=4096 out=512,detinfer_0.02,ws_32_bs_16,15633.708029909267
in=4096 out=512,global_det,ws_32_bs_16,10488.883597448697
in=4096 out=512,detinfer_0.05,ws_32_bs_16,15546.699192450644
in=4096 out=512,detinfer_0.1,ws_32_bs_16,15382.63353242431
in=4096 out=512,detinfer_0.2,ws_32_bs_16,14150.526865042277
in=4096 out=512,detinfer_0.5,ws_32_bs_16,12282.670773388838
in=4096 out=512,detinfer_1.0,ws_32_bs_16,11638.88467491307
in=512 out=256,non_det,ws_32_bs_16,19195.389914306154
in=512 out=256,detinfer_0.02,ws_32_bs_16,18199.27998194601
in=512 out=256,global_det,ws_32_bs_16,12865.612457603524
in=512 out=256,detinfer_0.05,ws_32_bs_16,16704.27770996688
in=512 out=256,detinfer_0.1,ws_32_bs_16,15729.456586766368
in=512 out=256,detinfer_0.2,ws_32_bs_16,14836.312993397338
in=512 out=256,detinfer_0.5,ws_32_bs_16,13072.259495048385
in=512 out=256,detinfer_1.0,ws_32_bs_16,10700.614165653244
ShareGPT,non_det,ws_32_bs_16,15218.90526658172
ShareGPT,detinfer_0.02,ws_32_bs_16,14746.663253176212
ShareGPT,global_det,ws_32_bs_16,9765.322344134534
ShareGPT,detinfer_0.05,ws_32_bs_16,13560.770809296693
ShareGPT,detinfer_0.1,ws_32_bs_16,12510.2224054919
ShareGPT,detinfer_0.2,ws_32_bs_16,11557.986274335484
ShareGPT,detinfer_0.5,ws_32_bs_16,10516.920505721087
ShareGPT,detinfer_1.0,ws_32_bs_16,8902.684963417096
ArXiv,non_det,ws_64_bs_8,15916.673645837183
ArXiv,detinfer_0.02,ws_64_bs_8,15917.83488150622
ArXiv,global_det,ws_64_bs_8,11113.217728006452
ArXiv,detinfer_0.05,ws_64_bs_8,15809.714520456471
ArXiv,detinfer_0.1,ws_64_bs_8,15709.19983300376
ArXiv,detinfer_0.2,ws_64_bs_8,15505.844512614753
ArXiv,detinfer_0.5,ws_64_bs_8,14536.690635515348
ArXiv,detinfer_1.0,ws_64_bs_8,13362.088100523231
in=1024 out=256,non_det,ws_64_bs_8,19642.888374058224
in=1024 out=256,detinfer_0.02,ws_64_bs_8,19060.80048818451
in=1024 out=256,global_det,ws_64_bs_8,12766.874741084755
in=1024 out=256,detinfer_0.05,ws_64_bs_8,18266.5237959953
in=1024 out=256,detinfer_0.1,ws_64_bs_8,17217.217531191458
in=1024 out=256,detinfer_0.2,ws_64_bs_8,16414.576203166915
in=1024 out=256,detinfer_0.5,ws_64_bs_8,15017.076096326711
in=1024 out=256,detinfer_1.0,ws_64_bs_8,13202.055499028374
in=1024 out=512,non_det,ws_64_bs_8,16010.633142553952
in=1024 out=512,detinfer_0.02,ws_64_bs_8,15602.338755246701
in=1024 out=512,global_det,ws_64_bs_8,10489.768419581727
in=1024 out=512,detinfer_0.05,ws_64_bs_8,14791.800345369333
in=1024 out=512,detinfer_0.1,ws_64_bs_8,13905.911448500008
in=1024 out=512,detinfer_0.2,ws_64_bs_8,12990.483324265164
in=1024 out=512,detinfer_0.5,ws_64_bs_8,11758.904576841713
in=1024 out=512,detinfer_1.0,ws_64_bs_8,10466.285118808844
in=2048 out=256,non_det,ws_64_bs_8,19986.341763562086
in=2048 out=256,detinfer_0.02,ws_64_bs_8,19738.776099507893
in=2048 out=256,global_det,ws_64_bs_8,12846.446441957138
in=2048 out=256,detinfer_0.05,ws_64_bs_8,19224.677226064094
in=2048 out=256,detinfer_0.1,ws_64_bs_8,18443.807330332886
in=2048 out=256,detinfer_0.2,ws_64_bs_8,17515.63750685951
in=2048 out=256,detinfer_0.5,ws_64_bs_8,16277.222792631626
in=2048 out=256,detinfer_1.0,ws_64_bs_8,15322.465496642984
in=2048 out=512,non_det,ws_64_bs_8,16170.023475179773
in=2048 out=512,detinfer_0.02,ws_64_bs_8,15977.269656230583
in=2048 out=512,global_det,ws_64_bs_8,10650.32557282651
in=2048 out=512,detinfer_0.05,ws_64_bs_8,15532.567542943716
in=2048 out=512,detinfer_0.1,ws_64_bs_8,14769.90415888873
in=2048 out=512,detinfer_0.2,ws_64_bs_8,13780.944353354504
in=2048 out=512,detinfer_0.5,ws_64_bs_8,12503.637750407142
in=2048 out=512,detinfer_1.0,ws_64_bs_8,11686.431771738335
in=4096 out=512,non_det,ws_64_bs_8,15781.574983863487
in=4096 out=512,detinfer_0.02,ws_64_bs_8,15714.188030061865
in=4096 out=512,global_det,ws_64_bs_8,10488.883597448697
in=4096 out=512,detinfer_0.05,ws_64_bs_8,15554.53550068613
in=4096 out=512,detinfer_0.1,ws_64_bs_8,15142.991295408008
in=4096 out=512,detinfer_0.2,ws_64_bs_8,14326.287516515667
in=4096 out=512,detinfer_0.5,ws_64_bs_8,12911.846806069638
in=4096 out=512,detinfer_1.0,ws_64_bs_8,11997.858433121135
in=512 out=256,non_det,ws_64_bs_8,19195.389914306154
in=512 out=256,detinfer_0.02,ws_64_bs_8,18183.13675589479
in=512 out=256,global_det,ws_64_bs_8,12865.612457603524
in=512 out=256,detinfer_0.05,ws_64_bs_8,17043.107866554597
in=512 out=256,detinfer_0.1,ws_64_bs_8,16009.558396773335
in=512 out=256,detinfer_0.2,ws_64_bs_8,15003.49696642462
in=512 out=256,detinfer_0.5,ws_64_bs_8,12909.812905567134
in=512 out=256,detinfer_1.0,ws_64_bs_8,10526.570372052445
ShareGPT,non_det,ws_64_bs_8,15218.90526658172
ShareGPT,detinfer_0.02,ws_64_bs_8,14683.060802963622
ShareGPT,global_det,ws_64_bs_8,9765.322344134534
ShareGPT,detinfer_0.05,ws_64_bs_8,13780.551830045766
ShareGPT,detinfer_0.1,ws_64_bs_8,12927.312205784723
ShareGPT,detinfer_0.2,ws_64_bs_8,11925.573153168649
ShareGPT,detinfer_0.5,ws_64_bs_8,10559.908459929055
ShareGPT,detinfer_1.0,ws_64_bs_8,8847.020852708787
